record_id,true_label,lstm_prediction,lstm_confidence,lstm_category,mp_prediction,mp_confidence,mp_category
1612,0,0,0.9931904077529907,High (≥0.8),0,0.9968188634784325,High (≥0.8)
1624,0,0,0.9901590347290039,High (≥0.8),0,0.6561604011579721,Medium (0.6-0.8)
1645,0,0,0.997165322303772,High (≥0.8),0,0.9902506973402594,High (≥0.8)
1662,0,0,0.9940126538276672,High (≥0.8),0,0.9412134752159782,High (≥0.8)
1830,0,0,0.9956616163253784,High (≥0.8),0,0.9118610568235715,High (≥0.8)
1832,0,0,0.9940415024757385,High (≥0.8),0,0.9981180847353233,High (≥0.8)
1863,0,0,0.9957997798919678,High (≥0.8),1,0.526544596771089,Low (<0.6)
1882,0,0,0.9965342283248901,High (≥0.8),0,0.9963024035830236,High (≥0.8)
68,0,0,0.9995173215866089,High (≥0.8),0,0.997279564605463,High (≥0.8)
84,0,0,0.9994110465049744,High (≥0.8),0,0.9947980470803456,High (≥0.8)
129,0,0,0.9995878338813782,High (≥0.8),0,0.9534670412973327,High (≥0.8)
247,0,0,0.9986334443092346,High (≥0.8),0,0.9826759988939352,High (≥0.8)
371,0,0,0.9992491602897644,High (≥0.8),0,0.9813109357740233,High (≥0.8)
411,0,0,0.999510645866394,High (≥0.8),0,0.9916053041106719,High (≥0.8)
412,0,0,0.9985125660896301,High (≥0.8),0,0.9844687806156455,High (≥0.8)
436,0,0,0.9991455078125,High (≥0.8),0,0.994424192804734,High (≥0.8)
470,0,0,0.9996345043182373,High (≥0.8),0,0.8934076487894165,High (≥0.8)
473,0,0,0.9943497776985168,High (≥0.8),0,0.9896714174756726,High (≥0.8)
496,1,0,0.9467581510543823,High (≥0.8),0,0.5975332367575763,Low (<0.6)
528,0,0,0.9979975819587708,High (≥0.8),0,0.9780015250027463,High (≥0.8)
643,0,0,0.9995899796485901,High (≥0.8),0,0.9949014433466655,High (≥0.8)
755,0,0,0.9996145367622375,High (≥0.8),0,0.8069598428412599,High (≥0.8)
765,0,0,0.9902281761169434,High (≥0.8),0,0.9910533202447275,High (≥0.8)
1021,0,0,0.9996755719184875,High (≥0.8),0,0.9933719686794545,High (≥0.8)
1035,0,0,0.9995757341384888,High (≥0.8),0,0.996354237657268,High (≥0.8)
1041,0,0,0.9978765249252319,High (≥0.8),0,0.9231082707239155,High (≥0.8)
1060,0,0,0.9980271458625793,High (≥0.8),0,0.87275635985227,High (≥0.8)
